time_ms,stream_id,bytes,sct_ms,e2e_ms,class,scheduler
1765685307478,108,51200,1377.53,1402.47,short,wfq
1765685307481,116,51200,1377.58,1404.93,short,wfq
1765685307491,12,51200,1382.96,1415.22,short,wfq
1765685307493,36,51200,1383.02,1417.74,short,wfq
1765685307572,32,51200,1473.36,1496.05,short,wfq
1765685307589,8,51200,1476.59,1514.00,short,wfq
1765685307596,0,51200,1479.32,1520.42,short,wfq
1765685307598,4,51200,1479.46,1522.40,short,wfq
1765685307602,24,51200,1480.82,1526.20,short,wfq
1765685307606,28,51200,1482.21,1529.91,short,wfq
1765685307618,52,51200,1485.00,1541.07,short,wfq
1765685307618,56,51200,1482.56,1541.07,short,wfq
1765685307625,60,51200,1487.80,1548.75,short,wfq
1765685307629,64,51200,1489.17,1552.56,short,wfq
1765685307633,76,51200,1486.50,1556.22,short,wfq
1765685307643,84,51200,1491.64,1566.44,short,wfq
1765685307648,92,51200,1492.91,1572.56,short,wfq
1765685307652,96,51200,1494.19,1575.35,short,wfq
1765685307669,104,51200,1495.48,1593.03,short,wfq
1765685307741,80,51200,1591.64,1663.90,short,wfq
1765685308212,16,51200,2096.97,2136.29,short,wfq
1765685308369,72,51200,2223.70,2292.19,short,wfq
1765685308446,44,51200,2316.81,2369.35,short,wfq
1765685308571,88,51200,2417.30,2494.65,short,wfq
1765685309030,124,51200,1456.07,1588.22,short,wfq
1765685309033,128,51200,1456.02,1587.76,short,wfq
1765685309046,136,51200,1458.61,1587.41,short,wfq
1765685309048,140,51200,1458.61,1587.41,short,wfq
1765685309056,144,51200,1459.77,1587.11,short,wfq
1765685309058,148,51200,1459.76,1588.11,short,wfq
1765685309065,152,51200,1461.04,1586.77,short,wfq
1765685309079,156,51200,1461.18,1585.52,short,wfq
1765685309080,160,51200,1457.34,1584.23,short,wfq
1765685309083,164,51200,1457.29,1584.24,short,wfq
1765685309107,172,51200,1463.81,1585.62,short,wfq
1765685309108,176,51200,1459.96,1581.89,short,wfq
1765685309118,120,51200,1546.88,1679.06,short,wfq
1765685309129,132,51200,1544.34,1673.94,short,wfq
1765685309150,184,51200,1453.46,1585.05,short,wfq
1765685309173,188,51200,1448.29,1583.03,short,wfq
1765685309182,168,51200,1545.74,1671.34,short,wfq
1765685309189,192,51200,1448.29,1584.70,short,wfq
1765685309195,196,51200,1445.71,1584.30,short,wfq
1765685309212,180,51200,1543.18,1666.89,short,wfq
1765685309749,200,51200,1536.73,1690.92,short,wfq
1765685309972,204,51200,1525.13,1662.65,short,wfq
1765685310082,212,51200,1511.02,1637.05,short,wfq
1765685310523,232,51200,1390.66,1525.48,short,wfq
1765685310526,236,51200,1390.65,1527.95,short,wfq
1765685310582,268,51200,1399.47,1531.58,short,wfq
1765685310592,216,51200,1481.40,1620.00,short,wfq
1765685310596,220,51200,1477.55,1616.17,short,wfq
1765685310599,224,51200,1477.58,1616.23,short,wfq
1765685310602,228,51200,1478.85,1616.90,short,wfq
1765685310615,240,51200,1477.54,1614.45,short,wfq
1765685310620,244,51200,1476.25,1612.34,short,wfq
1765685310624,248,51200,1477.54,1613.12,short,wfq
1765685310625,252,51200,1473.81,1608.52,short,wfq
1765685310625,280,51200,1387.92,1524.03,short,wfq
1765685310636,256,51200,1473.83,1608.51,short,wfq
1765685310641,260,51200,1473.83,1607.93,short,wfq
1765685310645,264,51200,1475.07,1609.10,short,wfq
1765685310693,20,51200,4576.86,4617.41,short,wfq
1765685310736,284,51200,1468.71,1611.17,short,wfq
1765685310752,288,51200,1467.43,1612.53,short,wfq
1765685310754,292,51200,1466.12,1610.84,short,wfq
1765685311407,304,51200,1324.96,1453.54,short,wfq
1765685311899,332,51200,1284.01,1403.17,short,wfq
1765685311921,348,51200,1285.12,1400.84,short,wfq
1765685311931,356,51200,1286.30,1401.02,short,wfq
1765685311955,312,51200,1359.24,1476.31,short,wfq
1765685311960,316,51200,1361.88,1479.28,short,wfq
1765685311969,324,51200,1361.89,1481.07,short,wfq
1765685311973,328,51200,1363.19,1481.91,short,wfq
1765685311986,336,51200,1365.75,1484.17,short,wfq
1765685311994,344,51200,1366.88,1483.64,short,wfq
1765685312003,352,51200,1361.77,1475.93,short,wfq
1765685312015,372,51200,1279.61,1403.98,short,wfq
1765685312027,360,51200,1368.05,1482.21,short,wfq
1765685312058,364,51200,1364.20,1479.85,short,wfq
1765685312076,368,51200,1368.07,1487.08,short,wfq
1765685312855,384,51200,1367.03,1479.99,short,wfq
1765685313178,388,51200,1278.79,1408.60,short,wfq
1765685313242,392,51200,1285.46,1405.94,short,wfq
1765685313246,396,51200,1285.47,1406.32,short,wfq
1765685313273,408,51200,1286.76,1408.05,short,wfq
1765685313310,428,51200,1283.06,1404.10,short,wfq
1765685313332,400,51200,1362.29,1482.03,short,wfq
1765685313336,404,51200,1362.27,1483.57,short,wfq
1765685313339,432,51200,1277.91,1405.99,short,wfq
1765685313352,436,51200,1276.64,1405.56,short,wfq
1765685313355,412,51200,1361.13,1482.38,short,wfq
1765685313361,416,51200,1361.11,1484.05,short,wfq
1765685313366,420,51200,1359.76,1478.85,short,wfq
1765685313371,424,51200,1362.33,1483.87,short,wfq
1765685313377,440,51200,1271.42,1407.40,short,wfq
1765685314138,444,51200,1282.89,1404.85,short,wfq
1765685314540,448,51200,1361.94,1500.95,short,wfq
1765685314612,456,51200,1290.50,1416.00,short,wfq
1765685314653,476,51200,1291.32,1394.18,short,wfq
1765685314662,480,51200,1293.97,1398.01,short,wfq
1765685314664,484,51200,1292.55,1397.22,short,wfq
1765685314680,488,51200,1295.01,1399.04,short,wfq
1765685314689,452,51200,1371.84,1496.44,short,wfq
1765685314704,460,51200,1371.83,1494.64,short,wfq
1765685314706,464,51200,1370.54,1494.77,short,wfq
1765685314710,492,51200,1291.04,1400.17,short,wfq
1765685314719,468,51200,1371.72,1495.07,short,wfq
1765685314723,496,51200,1289.73,1400.16,short,wfq
1765685314729,472,51200,1373.01,1475.82,short,wfq
1765685314835,500,51200,1373.09,1490.03,short,wfq
1765685315584,504,51200,1446.09,1583.57,short,wfq
1765685315807,508,51200,1265.52,1390.24,short,wfq
1765685315919,512,51200,1265.93,1386.33,short,wfq
1765685315966,520,51200,1272.48,1390.12,short,wfq
1765685315976,524,51200,1272.37,1389.48,short,wfq
1765685315978,528,51200,1272.29,1389.35,short,wfq
1765685316005,536,51200,1276.22,1391.97,short,wfq
1765685316039,548,51200,1281.28,1395.12,short,wfq
1765685316049,516,51200,1359.34,1475.65,short,wfq
1765685316074,532,51200,1355.52,1471.12,short,wfq
1765685316092,540,51200,1352.97,1469.12,short,wfq
1765685316100,544,51200,1356.81,1473.78,short,wfq
1765685316104,560,51200,1268.21,1393.72,short,wfq
1765685316149,552,51200,1356.68,1477.19,short,wfq
1765685316156,556,51200,1351.55,1472.16,short,wfq
1765685316914,564,51200,1329.73,1441.10,short,wfq
1765685317247,572,51200,1328.57,1459.65,short,wfq
1765685317289,576,51200,1240.45,1369.89,short,wfq
1765685317292,580,51200,1240.45,1369.84,short,wfq
1765685317301,584,51200,1239.17,1368.63,short,wfq
1765685317305,588,51200,1240.44,1369.19,short,wfq
1765685317325,596,51200,1242.99,1367.18,short,wfq
1765685317343,604,51200,1242.98,1364.59,short,wfq
1765685317361,608,51200,1246.94,1367.33,short,wfq
1765685317389,612,51200,1240.45,1363.67,short,wfq
1765685317395,592,51200,1321.10,1445.27,short,wfq
1765685317399,616,51200,1239.05,1367.31,short,wfq
1765685317425,620,51200,1235.20,1367.31,short,wfq
1765685318154,624,51200,1240.39,1360.53,short,wfq
1765685318527,632,51200,1224.90,1358.56,short,wfq
1765685318550,628,51200,1303.04,1440.60,short,wfq
1765685318568,636,51200,1223.76,1353.41,short,wfq
1765685318610,648,51200,1228.77,1356.34,short,wfq
1765685318626,652,51200,1230.15,1357.16,short,wfq
1765685318668,660,51200,1233.99,1335.29,short,wfq
1765685318678,644,51200,1305.61,1434.85,short,wfq
1765685318678,640,51200,1308.13,1437.75,short,wfq
1765685318699,664,51200,1231.42,1337.98,short,wfq
1765685318711,656,51200,1308.36,1435.30,short,wfq
1765685318793,668,51200,1314.77,1423.89,short,wfq
1765685318820,672,51200,1313.48,1425.16,short,wfq
1765685319536,676,51200,1306.03,1428.07,short,wfq
1765685319783,680,51200,1229.02,1344.67,short,wfq
1765685319842,684,51200,1230.29,1347.09,short,wfq
1765685319912,696,51200,1230.31,1344.49,short,wfq
1765685319922,700,51200,1231.46,1346.98,short,wfq
1765685319936,704,51200,1232.64,1345.56,short,wfq
1765685319963,688,51200,1311.86,1428.68,short,wfq
1765685319985,692,51200,1306.85,1422.34,short,wfq
1765685320020,720,51200,1226.09,1346.35,short,wfq
1765685320021,708,51200,1309.43,1419.39,short,wfq
1765685320055,712,51200,1309.35,1423.67,short,wfq
1765685320090,716,51200,1309.33,1427.49,short,wfq
1765685320130,724,51200,1307.98,1428.90,short,wfq
1765685320751,728,51200,1214.14,1324.76,short,wfq
1765685321037,112,575488,14931.62,14961.22,medium,wfq
1765685321074,732,51200,1205.48,1329.90,short,wfq
1765685321159,40,575488,15032.45,15082.51,medium,wfq
1765685321184,68,575488,15041.92,15107.86,medium,wfq
1765685321214,736,51200,1290.23,1411.89,short,wfq
1765685321251,740,51200,1287.69,1407.99,short,wfq
1765685321266,764,51200,1210.88,1326.95,short,wfq
1765685321270,744,51200,1281.28,1401.66,short,wfq
1765685321270,100,575488,15109.65,15193.36,medium,wfq
1765685321271,748,51200,1280.01,1400.41,short,wfq
1765685321279,752,51200,1277.45,1397.85,short,wfq
1765685321292,772,51200,1191.65,1316.27,short,wfq
1765685321293,760,51200,1272.30,1389.74,short,wfq
1765685321337,768,51200,1245.47,1368.80,short,wfq
1765685321361,776,51200,1231.43,1358.24,short,wfq
1765685321693,780,51200,862.31,977.78,short,wfq
1765685321796,784,51200,758.45,884.44,short,wfq
1765685321845,788,51200,690.49,820.24,short,wfq
1765685321848,792,51200,689.20,817.68,short,wfq
1765685321861,796,51200,674.90,802.06,short,wfq
1765685324464,208,575488,15992.69,16131.50,medium,wfq
1765685324743,296,575488,14994.36,15134.35,medium,wfq
1765685324818,300,575488,14845.65,14988.28,medium,wfq
1765685324941,320,575488,14338.41,14457.07,medium,wfq
1765685324992,380,575488,14238.44,14362.62,medium,wfq
1765685325928,600,575488,9830.50,9954.65,medium,wfq
1765685326533,756,575488,6518.51,6637.58,medium,wfq
1765685326893,48,1521664,20762.94,20816.57,long,wfq
1765685333488,276,1521664,24276.56,24406.58,long,wfq
1765685333559,272,1521664,24372.69,24506.10,long,wfq
1765685333579,308,1521664,22987.28,23108.62,long,wfq
1765685333613,340,1521664,22988.58,23108.54,long,wfq
1765685333675,376,1521664,22922.97,23048.55,long,wfq
