time_ms,stream_id,bytes,sct_ms,e2e_ms,class,scheduler
1765685235873,44,51200,1542.35,1564.87,short,wfq
1765685235876,0,51200,1542.43,1567.44,short,wfq
1765685235927,28,51200,1580.49,1618.58,short,wfq
1765685235930,32,51200,1580.56,1621.08,short,wfq
1765685235932,4,51200,1580.59,1623.55,short,wfq
1765685235946,64,51200,1582.13,1637.25,short,wfq
1765685235951,68,51200,1579.88,1642.30,short,wfq
1765685235953,72,51200,1578.59,1643.55,short,wfq
1765685235955,76,51200,1578.59,1646.05,short,wfq
1765685235983,36,51200,1647.30,1674.70,short,wfq
1765685235987,8,51200,1565.11,1678.34,short,wfq
1765685235990,116,51200,1565.19,1680.91,short,wfq
1765685235990,12,51200,1652.48,1680.87,short,wfq
1765685235992,16,51200,1652.56,1683.38,short,wfq
1765685235995,20,51200,1652.69,1685.93,short,wfq
1765685235997,24,51200,1652.80,1688.47,short,wfq
1765685236008,40,51200,1653.25,1698.64,short,wfq
1765685236010,52,51200,1653.34,1701.16,short,wfq
1765685236011,56,51200,1652.19,1702.40,short,wfq
1765685236014,60,51200,1652.25,1704.94,short,wfq
1765685236037,92,51200,1643.46,1727.72,short,wfq
1765685236040,96,51200,1643.46,1730.23,short,wfq
1765685236042,100,51200,1643.48,1732.78,short,wfq
1765685236045,104,51200,1642.75,1735.30,short,wfq
1765685236047,108,51200,1642.34,1738.60,short,wfq
1765685236051,112,51200,1644.02,1741.66,short,wfq
1765685237381,132,51200,1397.61,1497.46,short,wfq
1765685237391,136,51200,1401.20,1496.34,short,wfq
1765685237401,148,51200,1404.21,1499.88,short,wfq
1765685237405,152,51200,1405.50,1503.72,short,wfq
1765685237410,160,51200,1405.39,1503.41,short,wfq
1765685237413,164,51200,1405.22,1502.17,short,wfq
1765685237422,176,51200,1407.83,1502.79,short,wfq
1765685237426,120,51200,1476.81,1595.41,short,wfq
1765685237445,124,51200,1482.57,1596.87,short,wfq
1765685237458,200,51200,1416.14,1511.19,short,wfq
1765685237461,204,51200,1416.14,1511.23,short,wfq
1765685237467,212,51200,1416.13,1512.52,short,wfq
1765685237482,140,51200,1489.58,1585.10,short,wfq
1765685237484,144,51200,1489.58,1585.16,short,wfq
1765685237491,156,51200,1488.48,1586.59,short,wfq
1765685237501,172,51200,1489.77,1584.75,short,wfq
1765685237511,188,51200,1489.73,1581.94,short,wfq
1765685237530,192,51200,1493.09,1588.04,short,wfq
1765685237533,196,51200,1493.13,1588.31,short,wfq
1765685237538,208,51200,1490.57,1585.55,short,wfq
1765685237547,216,51200,1488.00,1587.18,short,wfq
1765685238734,228,51200,1288.34,1419.17,short,wfq
1765685238753,48,51200,4417.20,4444.50,short,wfq
1765685238758,232,51200,1289.68,1402.09,short,wfq
1765685238767,236,51200,1291.78,1402.99,short,wfq
1765685238773,240,51200,1291.52,1398.02,short,wfq
1765685238782,256,51200,1288.84,1397.42,short,wfq
1765685238787,260,51200,1291.26,1399.42,short,wfq
1765685238800,224,51200,1374.37,1498.45,short,wfq
1765685238802,272,51200,1291.02,1395.37,short,wfq
1765685238817,276,51200,1286.46,1391.10,short,wfq
1765685238820,280,51200,1287.67,1389.63,short,wfq
1765685238824,88,51200,4488.33,4515.66,short,wfq
1765685238833,296,51200,1295.27,1391.20,short,wfq
1765685238843,300,51200,1296.57,1393.38,short,wfq
1765685238850,304,51200,1293.87,1390.12,short,wfq
1765685238851,244,51200,1366.46,1473.61,short,wfq
1765685238855,248,51200,1366.43,1474.43,short,wfq
1765685238860,252,51200,1368.79,1474.84,short,wfq
1765685238869,264,51200,1367.48,1472.36,short,wfq
1765685240086,308,51200,1338.99,1454.26,short,wfq
1765685240092,312,51200,1339.01,1455.41,short,wfq
1765685240143,316,51200,1343.27,1447.54,short,wfq
1765685240160,324,51200,1343.40,1446.82,short,wfq
1765685240165,328,51200,1343.38,1446.67,short,wfq
1765685240178,332,51200,1339.67,1444.11,short,wfq
1765685240188,340,51200,1340.94,1442.62,short,wfq
1765685240196,344,51200,1343.61,1442.99,short,wfq
1765685240198,348,51200,1343.46,1442.43,short,wfq
1765685240201,352,51200,1343.38,1444.07,short,wfq
1765685240215,360,51200,1351.21,1452.97,short,wfq
1765685240220,364,51200,1351.04,1452.41,short,wfq
1765685240230,368,51200,1350.96,1454.09,short,wfq
1765685240240,320,51200,1427.52,1532.28,short,wfq
1765685240277,336,51200,1433.48,1535.52,short,wfq
1765685240296,356,51200,1435.56,1534.81,short,wfq
1765685240358,372,51200,1445.90,1550.74,short,wfq
1765685240367,376,51200,1443.39,1549.60,short,wfq
1765685240374,380,51200,1440.81,1551.05,short,wfq
1765685241508,384,51200,1345.92,1458.86,short,wfq
1765685241514,388,51200,1345.92,1456.30,short,wfq
