time_ms,stream_id,bytes,sct_ms,e2e_ms,class,scheduler
1765684530997,0,51200,1528.56,1551.34,short,drr
1765684531099,16,51200,1623.95,1653.65,short,drr
1765684531111,20,51200,1638.94,1664.99,short,drr
1765684531112,92,51200,1625.43,1665.99,short,drr
1765684531117,100,51200,1626.82,1671.05,short,drr
1765684531120,8,51200,1481.85,1674.10,short,drr
1765684531125,88,51200,1627.16,1678.73,short,drr
1765684531129,80,51200,1627.24,1682.45,short,drr
1765684531132,76,51200,1621.27,1686.18,short,drr
1765684531137,108,51200,1622.46,1691.11,short,drr
1765684531142,112,51200,1620.33,1696.12,short,drr
1765684531145,116,51200,1619.06,1698.59,short,drr
1765684531155,24,51200,1618.11,1708.60,short,drr
1765684531160,36,51200,1619.45,1713.69,short,drr
1765684531165,40,51200,1615.16,1718.83,short,drr
1765684531170,44,51200,1616.54,1723.94,short,drr
1765684531175,48,51200,1617.76,1729.02,short,drr
1765684531180,52,51200,1615.88,1734.17,short,drr
1765684531184,56,51200,1615.75,1737.86,short,drr
1765684531189,60,51200,1616.92,1742.75,short,drr
1765684531194,64,51200,1617.15,1747.75,short,drr
1765684531199,68,51200,1618.30,1752.64,short,drr
1765684531204,72,51200,1619.58,1757.64,short,drr
1765684531214,104,51200,1615.14,1767.56,short,drr
1765684531215,4,51200,1612.48,1768.78,short,drr
1765684531262,32,51200,1728.60,1815.39,short,drr
1765684531303,84,51200,1709.08,1856.52,short,drr
1765684532229,28,51200,2620.20,2782.87,short,drr
1765684532418,120,51200,1421.34,1552.23,short,drr
1765684532530,132,51200,1417.93,1546.98,short,drr
1765684532536,140,51200,1416.63,1544.73,short,drr
1765684532548,144,51200,1422.80,1551.05,short,drr
1765684532553,152,51200,1419.09,1548.37,short,drr
1765684532555,156,51200,1416.59,1548.47,short,drr
1765684532567,164,51200,1420.50,1552.27,short,drr
1765684532578,172,51200,1417.88,1550.95,short,drr
1765684532578,176,51200,1412.71,1545.90,short,drr
1765684532585,180,51200,1414.95,1550.80,short,drr
1765684532593,184,51200,1417.54,1553.41,short,drr
1765684532594,188,51200,1413.62,1552.19,short,drr
1765684532598,192,51200,1412.43,1550.80,short,drr
1765684532603,196,51200,1412.47,1553.43,short,drr
1765684532608,200,51200,1412.53,1553.37,short,drr
1765684532613,204,51200,1412.66,1556.01,short,drr
1765684532618,208,51200,1412.65,1558.42,short,drr
1765684532636,212,51200,1419.09,1563.55,short,drr
1765684532714,220,51200,1410.60,1530.90,short,drr
1765684532716,224,51200,1408.12,1530.88,short,drr
1765684533505,228,51200,1279.89,1395.56,short,drr
1765684533516,128,51200,2409.14,2538.46,short,drr
1765684533543,168,51200,2388.02,2518.49,short,drr
