time_ms,stream_id,bytes,sct_ms,e2e_ms,class,scheduler
1765684630304,8,51200,423.73,446.35,short,drr
1765684630313,16,51200,417.89,455.02,short,drr
1765684630318,24,51200,417.98,460.04,short,drr
1765684630328,36,51200,419.32,469.97,short,drr
1765684630339,4,51200,455.30,481.52,short,drr
1765684630357,28,51200,453.15,498.86,short,drr
1765684630370,12,51200,479.24,512.71,short,drr
1765684630731,0,51200,843.31,873.27,short,drr
1765684630740,40,51200,426.97,483.28,short,drr
1765684630745,44,51200,425.63,483.28,short,drr
1765684630755,48,51200,425.66,483.17,short,drr
1765684630760,52,51200,426.83,488.07,short,drr
1765684630785,56,51200,431.70,490.65,short,drr
1765684630798,60,51200,432.86,491.83,short,drr
1765684630807,64,51200,435.33,493.03,short,drr
1765684631194,68,51200,462.56,530.22,short,drr
1765684631204,72,51200,463.93,532.87,short,drr
1765684631209,76,51200,462.57,532.73,short,drr
1765684631219,80,51200,462.67,535.31,short,drr
1765684631224,84,51200,462.68,535.23,short,drr
1765684631249,88,51200,461.45,535.25,short,drr
1765684631261,92,51200,461.52,533.90,short,drr
1765684631299,96,51200,490.35,564.04,short,drr
1765684631646,104,51200,441.49,521.38,short,drr
1765684631653,108,51200,441.48,522.63,short,drr
1765684631661,112,51200,441.54,523.95,short,drr
1765684631666,116,51200,441.51,523.87,short,drr
1765684631674,100,51200,479.05,556.42,short,drr
1765684631691,120,51200,441.55,521.42,short,drr
1765684631742,128,51200,442.76,500.03,short,drr
1765684632093,132,51200,443.98,510.07,short,drr
1765684632098,136,51200,444.01,510.16,short,drr
1765684632107,140,51200,443.99,511.40,short,drr
1765684632112,144,51200,444.00,513.83,short,drr
1765684632119,148,51200,445.25,516.40,short,drr
1765684632138,152,51200,445.23,515.00,short,drr
1765684632187,156,51200,444.03,513.90,short,drr
1765684632525,160,51200,430.78,505.69,short,drr
1765684632530,164,51200,430.80,508.24,short,drr
1765684632539,168,51200,430.84,509.44,short,drr
1765684632545,176,51200,424.72,505.78,short,drr
1765684632565,180,51200,425.20,505.03,short,drr
1765684632602,184,51200,412.69,490.05,short,drr
1765684632822,172,51200,706.75,787.85,short,drr
1765684632892,188,51200,365.14,426.35,short,drr
1765684632898,192,51200,366.50,427.67,short,drr
1765684632910,200,51200,365.17,427.68,short,drr
1765684632928,204,51200,363.44,425.15,short,drr
1765684632970,208,51200,367.11,427.66,short,drr
1765684633197,212,51200,374.57,439.49,short,drr
1765684633264,216,51200,371.53,440.79,short,drr
1765684633299,228,51200,367.71,437.76,short,drr
1765684633308,224,51200,396.50,467.06,short,drr
1765684633339,232,51200,367.69,437.70,short,drr
1765684633557,236,51200,358.99,428.80,short,drr
1765684633617,240,51200,351.52,405.15,short,drr
1765684633651,244,51200,350.21,402.59,short,drr
1765684633658,248,51200,350.17,405.08,short,drr
1765684633934,260,51200,315.44,375.34,short,drr
1765684633963,264,51200,310.76,369.37,short,drr
1765684633969,268,51200,309.63,370.72,short,drr
1765684634215,272,51200,280.63,344.05,short,drr
1765684634245,276,51200,280.29,343.50,short,drr
1765684634248,280,51200,279.00,344.71,short,drr
1765684634484,284,51200,266.37,313.84,short,drr
1765684634513,292,51200,263.23,310.59,short,drr
1765684634733,296,51200,246.99,299.46,short,drr
1765684634759,300,51200,246.51,298.20,short,drr
1765684634981,304,51200,246.43,302.58,short,drr
1765684635007,308,51200,246.40,303.81,short,drr
1765684635227,312,51200,245.13,306.28,short,drr
1765684635253,316,51200,245.15,307.52,short,drr
1765684635475,320,51200,246.42,292.59,short,drr
1765684635502,324,51200,246.42,292.59,short,drr
1765684635709,328,51200,230.13,282.57,short,drr
1765684635938,336,51200,227.71,283.88,short,drr
1765684636218,340,51200,278.93,338.84,short,drr
1765684636408,344,51200,228.92,271.31,short,drr
1765684636637,348,51200,227.65,277.58,short,drr
1765684636867,352,51200,227.68,282.59,short,drr
1765684637136,356,51200,266.51,326.44,short,drr
1765684637339,360,51200,241.82,304.27,short,drr
1765684637568,364,51200,228.32,273.66,short,drr
1765684639381,124,575488,8118.94,8196.31,medium,drr
1765684639592,372,51200,210.97,258.43,short,drr
1765684639805,376,51200,210.14,263.82,short,drr
1765684639834,332,575488,4328.91,4381.30,medium,drr
1765684640141,380,51200,245.17,302.64,short,drr
1765684640141,384,51200,243.89,305.11,short,drr
1765684640255,220,575488,7356.82,7426.04,medium,drr
1765684640304,392,51200,240.62,304.32,short,drr
1765684640485,396,51200,246.38,293.07,short,drr
1765684640491,388,51200,387.09,502.01,short,drr
1765684640562,400,51200,256.90,306.82,short,drr
1765684640771,404,51200,283.24,336.88,short,drr
1765684640776,408,51200,283.26,339.43,short,drr
1765684640846,412,51200,282.80,339.43,short,drr
1765684641053,416,51200,281.95,344.39,short,drr
1765684641131,420,51200,353.78,417.55,short,drr
1765684641133,424,51200,286.31,350.05,short,drr
1765684641149,252,575488,7806.74,7861.59,medium,drr
1765684641342,256,575488,7783.29,7843.20,medium,drr
1765684641376,432,51200,316.46,382.01,short,drr
1765684641396,428,51200,341.94,407.31,short,drr
1765684641457,436,51200,330.15,379.21,short,drr
1765684641489,440,51200,335.95,385.12,short,drr
1765684641669,444,51200,352.13,409.61,short,drr
1765684641730,448,51200,354.42,409.53,short,drr
1765684641751,452,51200,355.30,413.25,short,drr
1765684641814,456,51200,355.30,415.54,short,drr
1765684641845,460,51200,355.23,416.46,short,drr
1765684642025,464,51200,354.01,420.26,short,drr
1765684642090,468,51200,357.75,425.05,short,drr
1765684642105,288,575488,7859.45,7905.64,medium,drr
1765684642114,472,51200,360.35,429.03,short,drr
1765684642207,476,51200,391.05,459.66,short,drr
1765684642213,480,51200,366.18,434.83,short,drr
1765684642393,484,51200,366.40,437.71,short,drr
1765684642442,488,51200,365.26,417.64,short,drr
1765684642453,492,51200,361.49,416.35,short,drr
1765684642472,496,51200,356.45,412.68,short,drr
1765684642552,500,51200,344.55,400.03,short,drr
1765684642707,508,51200,312.82,371.44,short,drr
1765684642761,516,51200,306.47,366.46,short,drr
1765684642780,520,51200,305.17,365.19,short,drr
1765684643007,528,51200,297.64,361.35,short,drr
1765684643061,532,51200,297.69,362.56,short,drr
1765684643079,536,51200,297.66,362.49,short,drr
1765684643310,540,51200,300.19,347.60,short,drr
1765684643360,544,51200,296.45,345.16,short,drr
1765684643375,548,51200,295.18,345.09,short,drr
1765684643625,556,51200,263.79,318.69,short,drr
1765684643639,560,51200,261.26,317.41,short,drr
1765684643874,564,51200,246.40,304.33,short,drr
1765684643886,568,51200,245.14,304.36,short,drr
1765684644119,572,51200,243.91,306.34,short,drr
1765684644133,576,51200,245.19,307.59,short,drr
1765684644367,580,51200,246.39,293.75,short,drr
1765684644381,584,51200,246.39,295.03,short,drr
1765684644614,588,51200,246.16,298.59,short,drr
1765684644628,592,51200,244.98,299.90,short,drr
1765684644838,600,51200,210.19,267.93,short,drr
1765684645047,604,51200,207.64,267.62,short,drr
1765684645260,608,51200,210.13,253.81,short,drr
1765684645305,368,575488,7734.71,7787.09,medium,drr
1765684645505,612,51200,243.96,292.65,short,drr
1765684645530,616,51200,241.42,292.61,short,drr
1765684645743,624,51200,210.13,265.06,short,drr
1765684645994,628,51200,250.20,308.89,short,drr
1765684646165,632,51200,210.16,271.34,short,drr
1765684646376,636,51200,210.15,255.11,short,drr
1765684646589,640,51200,210.13,261.36,short,drr
1765684646800,644,51200,210.15,266.28,short,drr
1765684647010,648,51200,209.04,269.04,short,drr
1765684647233,652,51200,210.83,252.35,short,drr
1765684647444,656,51200,210.11,257.56,short,drr
1765684647657,660,51200,210.13,262.50,short,drr
1765684649352,524,575488,6797.80,6857.65,medium,drr
1765684649563,668,51200,211.01,262.16,short,drr
1765684649776,672,51200,211.18,267.38,short,drr
1765684650213,552,575488,6901.72,6956.63,medium,drr
1765684650424,680,51200,211.08,259.82,short,drr
1765684650637,684,51200,210.13,263.78,short,drr
1765684650903,688,51200,265.20,323.89,short,drr
1765684651058,692,51200,210.16,271.30,short,drr
1765684651270,696,51200,210.11,255.01,short,drr
1765684651482,700,51200,209.76,260.97,short,drr
1765684652040,32,1521664,22132.98,22182.39,long,drr
1765684652103,20,1521664,22204.41,22245.21,long,drr
1765684652283,708,51200,241.71,286.66,short,drr
1765684652332,712,51200,246.47,295.45,short,drr
1765684652532,716,51200,246.40,300.09,short,drr
1765684652581,720,51200,246.43,301.33,short,drr
1765684652831,724,51200,296.49,355.15,short,drr
1765684652876,728,51200,292.78,353.97,short,drr
1765684653056,736,51200,228.99,272.61,short,drr
1765684653285,740,51200,227.63,275.02,short,drr
1765684653511,196,1521664,20970.42,21032.83,long,drr
1765684653518,744,51200,231.55,283.98,short,drr
1765684653780,752,51200,262.01,322.12,short,drr
1765684653843,748,51200,330.97,389.67,short,drr
1765684654042,756,51200,265.21,328.77,short,drr
1765684654047,760,51200,265.21,330.07,short,drr
