time_ms,stream_id,bytes,sct_ms,e2e_ms,class,scheduler
1765685040598,532,51200,1631.67,1708.95,short,rr
1765685040640,540,51200,1631.66,1712.79,short,rr
1765685040653,548,51200,1633.06,1712.82,short,rr
1765685040658,552,51200,1594.60,1676.93,short,rr
1765685040684,544,51200,1666.28,1746.14,short,rr
1765685040731,560,51200,1631.80,1711.53,short,rr
1765685042036,568,51200,1595.84,1682.11,short,rr
1765685042062,572,51200,1597.11,1682.12,short,rr
1765685042063,564,51200,1631.77,1719.31,short,rr
1765685042066,576,51200,1595.80,1680.85,short,rr
1765685042153,596,51200,1597.22,1662.85,short,rr
1765685042165,584,51200,1632.99,1698.75,short,rr
1765685042167,580,51200,1667.60,1753.88,short,rr
1765685042167,588,51200,1630.44,1696.25,short,rr
1765685042181,604,51200,1595.94,1662.84,short,rr
1765685042184,592,51200,1633.00,1698.75,short,rr
1765685042197,600,51200,1633.13,1698.77,short,rr
1765685042235,608,51200,1631.81,1701.34,short,rr
1765685042313,620,51200,1627.98,1697.57,short,rr
1765685042322,616,51200,1663.88,1734.78,short,rr
1765685042322,624,51200,1589.55,1661.69,short,rr
1765685043628,632,51200,1590.78,1669.27,short,rr
1765685043653,636,51200,1590.75,1670.58,short,rr
1765685043691,628,51200,1663.80,1742.36,short,rr
1765685043693,640,51200,1626.65,1705.20,short,rr
1765685043745,644,51200,1629.23,1708.99,short,rr
1765685043758,660,51200,1592.03,1673.18,short,rr
1765685043762,648,51200,1627.73,1710.31,short,rr
1765685043775,652,51200,1627.84,1710.23,short,rr
1765685043798,664,51200,1630.39,1708.94,short,rr
1765685043813,656,51200,1663.73,1746.09,short,rr
1765685043827,668,51200,1630.39,1710.28,short,rr
1765685043868,672,51200,1632.94,1715.40,short,rr
1765685043922,676,51200,1631.67,1715.39,short,rr
1765685043949,684,51200,1634.24,1716.58,short,rr
1765685043957,680,51200,1666.29,1750.00,short,rr
1765685045224,688,51200,1594.53,1662.84,short,rr
1765685045288,700,51200,1597.09,1665.40,short,rr
1765685045327,692,51200,1671.43,1739.69,short,rr
